GEOID,2016,2017,2018,2019,13qct,14qct,15qct,17qct,16qct,18qct,19qct,NMDDA
21141960400,,,,,0,0,0,0,,0,0,
25009211300,,,,317244,0,0,0,0,,0,0,
37075920200,,307625,,,0,0,0,0,0,0,0,0
28043950200,,,,,0,0,0,0,,0,0,
55013970900,,,,,0,0,0,0,0,0,0,0
28139950200,,,,,0,0,0,0,,0,0,
6093001000,,287452,,,0,0,0,0,0,0,0,
6003010000,,284681,,,0,0,0,0,0,0,0,
2170000502,,,275000,8736,0,0,0,0,0,0,0,
6073020306,,,,,0,0,0,0,0,0,0,
28075010202,,,,,0,0,0,0,,0,0,
13071970500,,,,,0,0,0,0,,0,0,
41019110000,,,,271100,0,0,0,0,0,0,0,1
24031700309,,,,269700,0,0,0,0,,0,0,
6093000300,,51290,,216725,0,0,0,0,0,0,0,
53031950500,,,,,0,0,0,0,0,0,0,1
34005704500,,,,,0,0,0,0,0,0,0,
6093000701,,,241015,,0,0,0,0,0,0,0,
6037575500,,,,,0,0,0,0,0,0,0,
38035011400,,,,,0,0,0,0,0,0,0,
55009940003,,,,,0,0,0,0,0,0,0,
6071012700,,,,,0,0,0,0,0,0,0,
24031701211,,,,,0,0,0,0,,0,0,
13059001800,,,117930,105803,0,0,0,0,,0,0,
48141010221,,,221528,,0,0,0,0,0,0,0,
41063960100,,,,,0,0,0,0,0,0,0,0
16055001200,,110000,110000,,0,0,0,0,,0,0,
36045060200,,,,,0,0,0,0,0,0,0,
13067031207,,218212,,,0,0,0,0,,0,0,
12086003705,,214999,,,0,0,0,0,,0,0,
11001005002,,,,,0,0,0,0,,0,0,
24031700904,39000,,0,,0,0,0,0,,0,0,
34003023301,,205151,,,0,0,0,0,0,0,0,
6063000501,,199675,,,0,0,0,0,0,0,0,
1089010800,,,,,0,0,0,0,0,0,0,
11001007200,,,,,0,0,0,0,,0,0,
27007940002,,,,,0,0,0,0,,0,0,
2110000300,,,,,0,0,0,0,0,0,0,
42091206802,,,,192229,0,0,0,0,0,0,0,
39071955100,,,,191972,0,0,0,0,0,0,0,0
41019050002,,190375,,,0,0,0,0,0,0,0,1
27011950100,,,,,0,0,0,0,,0,0,
17131040300,,,,,0,0,0,0,,0,0,
12057005301,29616,,,155348,0,0,0,0,,0,0,
11001004902,,,3922,96336,0,0,0,0,,0,0,
17135957600,,,179238,,0,0,0,0,,0,0,
46085972600,,,,,0,0,0,0,0,0,0,0
41013950200,33148,138981,0,0,0,0,0,0,0,0,0,1
41023960200,,171570,,,0,0,0,0,0,0,0,0
